,source_name,source_link,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,fatality_count,injury_count,event_import_source,event_import_id,admin_division_name,admin_division_population,longitude,latitude,Country_Name,event_year,event_month,event_week,event_day,event_date_hour,event_date_minute
71,1709,2262,6125,4,5,3,1,0,0,1,3709,851,23296,83,28,86,2011,7,26,3,0,0
72,1709,2262,6126,6,5,3,1,0,0,1,3710,851,23693,83,28,86,2011,7,26,3,0,0
74,2113,739,2182,7,5,3,1,0,0,1,3750,807,17123,78,30,56,2011,7,27,9,0,0
75,2113,739,3378,4,5,3,1,0,0,1,3751,807,2000,79,30,56,2011,7,27,9,0,0
76,2113,739,7947,4,5,3,1,0,0,1,3752,807,7725,78,31,56,2011,7,27,9,0,0
79,2271,977,5521,0,6,3,1,0,0,1,3785,574,20324,-36,-8,17,2011,7,28,16,0,0
80,1154,1517,5707,2,5,3,1,0,0,1,4197,128,48638,123,10,98,2012,2,7,14,0,0
81,2271,977,5882,6,6,3,1,1,0,1,3786,574,1478098,-34,-8,17,2011,7,28,16,0,0
82,2113,761,1383,4,5,11,1,1,0,1,3819,807,2000,79,30,56,2011,7,29,21,0,0
83,1821,2596,1568,7,5,13,1,0,0,1,3833,156,127235,-103,19,80,2011,7,29,22,0,0
84,1821,2596,2413,0,5,13,1,0,0,1,3834,253,165250,-99,17,80,2011,7,29,22,0,0
86,1821,2596,4260,0,5,13,1,0,0,1,3835,452,2817,-101,19,80,2011,7,29,22,0,0
87,201,2491,4002,4,5,3,1,0,0,1,4205,201,0,124,10,98,2012,2,7,16,0,0
88,2213,3937,7859,6,6,3,2,0,0,1,1306,93,66450,-122,49,24,2009,11,47,17,0,0
89,1821,2596,4696,0,5,13,1,0,0,1,3836,498,6361,-104,21,80,2011,7,29,22,0,0
90,2543,5009,1327,2,6,11,2,0,0,1,3865,157,3801,-107,39,134,2011,7,30,30,0,0
91,2543,5009,5885,2,6,11,2,0,0,1,3866,157,9614,-107,39,134,2011,7,30,30,0,0
92,276,287,6119,6,5,3,1,7,0,1,3978,512,5427,82,28,86,2011,9,37,17,9,0
94,1154,1517,793,2,5,3,1,0,0,1,4195,128,798634,123,10,98,2012,2,7,14,0,0
95,1154,1517,990,2,5,3,1,0,0,1,4196,128,48638,123,10,98,2012,2,7,14,0,0
97,184,2418,4510,2,5,3,0,0,0,1,4346,552,2514,-124,42,134,2012,5,18,2,0,0
98,574,3566,3081,1,5,3,1,0,0,1,4565,282,2467,77,31,56,2012,9,38,18,0,0
99,574,3574,4809,2,5,3,0,20,0,1,4569,512,1464,88,27,56,2012,9,38,19,0,0
100,574,3574,8815,2,5,3,0,0,0,1,4571,512,1464,88,27,56,2012,9,38,19,0,0
101,1506,1938,26,0,5,3,1,0,0,1,4589,121,50293,0,5,46,2012,10,42,19,0,0
103,2777,6095,2518,6,5,11,1,0,0,1,4680,200,0,-60,11,127,2012,12,52,25,3,0
105,1008,4690,6256,6,5,3,1,0,0,1,4880,158,3302,-79,9,94,2013,5,22,28,0,0
106,1008,4690,7695,6,5,3,1,0,0,1,4881,158,76643,-79,9,94,2013,5,22,28,0,0
107,1344,3654,5957,7,5,11,1,0,0,1,4929,807,27611,78,30,56,2013,6,24,16,0,0
108,1344,3654,1799,7,5,11,1,0,0,1,4930,807,17123,78,30,56,2013,6,24,16,0,0
109,1344,3654,5605,7,5,11,1,0,0,1,4931,807,7331,80,29,56,2013,6,24,16,0,0
111,955,6772,2645,6,6,3,1,0,0,1,4964,93,9813,-116,50,24,2013,6,25,19,0,0
113,2803,1783,7147,0,5,3,1,0,0,1,4982,750,31364,77,10,56,2013,6,26,25,8,0
114,2803,1783,3078,0,5,3,1,0,0,1,4983,750,31364,77,10,56,2013,6,26,25,8,0
115,3105,4436,5857,4,5,3,1,0,0,1,5102,453,0,82,28,86,2013,7,28,14,0,0
116,1342,5820,4654,7,6,11,1,0,0,1,5122,539,92113,93,25,56,2013,7,29,17,0,0
117,3105,4436,5856,4,5,3,1,0,0,1,5103,453,0,82,28,86,2013,7,28,14,0,0
118,1342,5820,4647,7,6,11,1,0,0,1,5123,539,92113,94,25,56,2013,7,29,17,0,0
119,2958,2107,5403,6,5,11,1,0,0,1,5153,128,798634,123,10,98,2013,7,29,21,0,0
121,150,1551,3546,2,5,11,1,1,1,1,5597,797,8818,12,47,8,2013,10,41,9,0,0
122,1398,5239,482,1,5,11,1,0,0,1,7056,61,1173,-117,32,80,2015,5,20,17,0,0
253,1045,0,7509,0,5,3,3,0,0,1,8002,552,2344,-122,45,134,2016,1,3,23,14,31
272,1045,0,4937,0,5,3,3,0,0,1,7988,552,4584,-123,44,134,2016,2,6,14,7,53
286,1045,0,7468,0,5,3,3,0,0,1,8284,552,3465,-123,44,134,2014,10,43,25,23,32
363,1045,0,4940,0,5,3,3,0,0,1,8455,552,682,-120,45,134,2013,8,34,25,6,8
435,770,3862,537,1,5,3,1,0,0,1,9538,207,2565,0,51,133,2016,10,39,1,0,0
436,1384,1087,2836,6,5,3,1,0,0,1,7548,109,2783,-120,38,134,2016,3,10,7,0,0
437,1379,1708,2135,1,5,1,1,0,0,1,7176,343,14965,74,34,56,2015,4,14,2,0,0
438,1045,0,5074,0,5,3,3,0,0,1,8390,552,2033,-123,44,134,2014,2,7,12,14,18
439,397,2989,2690,1,5,3,2,0,0,1,7229,109,20292,-116,33,134,2015,7,29,19,0,0
440,1720,2296,8180,4,5,11,1,0,0,1,7515,135,19092,-92,15,80,2015,10,43,21,0,0
441,1150,1542,6598,7,5,11,1,2,0,1,6347,529,6508,125,7,98,2014,9,36,1,0,0
442,2584,1533,6298,6,5,1,1,0,0,1,6681,710,7358,-89,13,39,2014,10,42,15,0,0
443,2981,2430,1430,7,5,8,1,1,0,1,5238,134,78756,99,19,126,2013,7,31,29,0,0
444,3132,4871,2355,6,5,11,1,3,0,1,5357,249,265846,111,23,26,2013,8,33,18,0,0
445,2586,5153,1865,6,5,3,1,0,0,1,4104,628,179583,-75,4,27,2011,12,51,23,0,0
446,2924,6463,2718,1,5,3,2,0,0,1,3411,349,5955,-84,39,134,2011,4,17,25,0,0
447,2167,3763,8409,4,5,3,1,0,0,1,2511,587,1119,-76,18,64,2010,9,39,28,0,0
448,1045,0,4878,0,5,3,3,0,0,1,8836,552,1045,-122,44,134,2011,1,3,17,9,38
449,1045,0,4968,0,5,3,3,0,0,1,8414,552,1855,-122,44,134,2013,12,52,23,12,41
450,1045,0,4976,0,5,3,3,0,0,1,8496,552,1855,-122,44,134,2013,1,2,9,16,15
451,1045,0,7466,0,5,3,3,0,0,1,8391,552,2449,-123,44,134,2014,2,7,12,8,25
452,1045,0,4954,0,5,3,3,0,0,1,8736,552,1711,-118,45,134,2012,1,3,18,12,12
453,1045,0,4979,0,5,3,3,0,0,1,8376,552,1855,-122,44,134,2014,2,7,15,18,21
454,1045,0,4891,0,5,3,3,0,0,1,8772,552,4935,-123,45,134,2011,6,26,28,9,26
455,1045,0,5083,0,5,3,3,0,0,1,8697,552,4561,-123,44,134,2012,1,4,24,13,40
456,1034,1442,7665,6,5,11,1,0,0,1,143,237,100485,73,15,56,2007,7,30,28,0,0
457,1045,0,7433,0,5,3,3,0,0,1,8140,552,1286,-123,45,134,2015,12,50,7,10,14
458,1045,0,5056,0,5,3,3,0,0,1,8353,552,2033,-123,44,134,2014,3,10,5,17,35
459,905,1063,445,0,0,11,1,0,0,1,2,568,0,-75,-10,97,2007,1,1,3,0,0
460,1419,6157,7862,6,5,11,1,1,0,1,1,207,24803,-3,54,133,2007,1,1,2,0,0
461,364,1161,6896,2,5,11,1,2,0,1,4,627,11555,-42,-22,17,2007,1,1,5,0,0
462,364,1161,4835,4,5,11,0,7,0,1,3,627,153361,-42,-22,17,2007,1,1,5,0,0
463,2384,4586,3466,7,5,3,1,0,0,1,666,215,0,81,29,86,2008,7,30,24,0,0
464,2153,3728,854,1,5,3,1,0,0,1,1855,545,11129,-82,38,134,2010,5,19,10,0,0
465,32,2041,1317,7,5,3,1,0,0,1,4463,93,8715,-117,49,24,2012,7,29,17,0,0
466,1045,0,5127,0,5,3,3,0,0,1,8371,552,4154,-123,43,134,2014,2,8,17,8,59
467,2701,5507,5412,6,5,3,1,0,0,1,4116,128,48638,123,10,98,2011,12,52,27,0,0
468,2531,4970,6353,1,5,3,2,0,0,1,3502,571,1064,-79,40,134,2011,5,20,17,0,0
469,510,3315,4184,4,5,5,3,0,0,1,9343,456,32739,121,14,98,2016,3,9,3,0,0
470,256,2531,5478,2,5,11,2,0,0,1,6784,93,8715,-117,49,24,2015,2,7,15,0,0
471,68,1095,5410,2,5,3,3,0,0,1,5816,302,4945,120,18,98,2014,1,4,23,0,0
472,642,0,5404,6,5,13,1,0,0,1,5763,201,2920,125,11,98,2014,1,2,11,0,0
473,1262,96,4032,2,5,13,1,0,0,1,5794,529,14756,124,8,98,2014,1,3,17,0,0
475,1447,1793,3967,0,5,11,1,0,0,1,3659,340,53331,75,12,56,2011,6,26,27,0,0
476,655,529,5529,4,5,3,0,32,0,1,4520,357,1218773,71,34,93,2012,8,35,28,0,0
477,1452,6169,4836,4,5,11,0,0,0,1,4612,627,153361,-42,-22,17,2012,11,46,13,0,0
478,1341,1696,1895,6,5,3,1,0,0,1,8220,199,31495,86,26,86,2015,9,38,16,0,0
479,3213,6278,4054,6,5,11,4,15,0,1,4755,522,451893,124,1,57,2013,2,7,17,0,0
480,1375,6003,82,1,5,3,3,0,0,1,5976,833,198397,-122,47,134,2014,3,13,29,18,0
481,653,3738,448,1,5,3,2,0,0,1,5808,207,0,-1,50,133,2014,1,4,21,0,0
482,2527,1471,8343,2,5,3,1,0,0,1,1620,172,0,-71,-12,97,2010,4,14,5,0,0
483,3079,4033,6363,1,6,3,1,0,0,1,5454,833,3652,-117,47,134,2013,9,36,5,9,0
484,3227,6371,3733,1,6,3,1,16,0,1,5679,60,11169,-40,-12,17,2013,12,49,7,23,0
485,1341,6698,8091,4,5,3,1,0,5,1,9319,851,2860,83,28,86,2016,2,8,22,23,0
486,3175,5566,4346,1,5,3,1,0,0,1,5672,71,9205,16,40,62,2013,12,49,3,12,0
487,2424,1192,3962,4,6,3,1,7,0,1,827,599,6044,-70,-14,97,2008,10,40,4,0,0
488,1478,6237,6796,0,6,1,2,0,0,1,6080,458,285068,-93,44,134,2014,6,25,20,9,0
489,2747,5906,5900,7,5,3,1,4,0,1,3384,839,800000,106,-6,57,2011,4,16,20,1,0
490,2094,3504,6735,1,5,3,2,0,0,1,2849,833,1609,-122,48,134,2010,12,50,13,4,0
491,2198,3866,8684,6,0,11,2,0,0,1,1525,109,29603,-116,33,134,2010,2,8,25,6,45
492,2310,1028,2368,0,6,3,1,0,0,1,2063,203,443322,132,33,65,2010,7,28,12,6,0
493,1139,5064,4435,7,5,11,1,0,0,1,120,178,0,125,7,98,2007,7,28,10,0,0
494,1045,0,7501,0,5,3,3,0,0,1,8808,552,583776,-122,45,134,2011,3,9,6,16,39
495,2301,1016,6103,0,5,3,1,0,0,1,1680,627,272691,-43,-22,17,2010,4,14,6,0,0
496,1509,6804,8450,2,5,3,1,3,1,1,9607,510,0,105,19,138,2016,10,42,18,0,0
497,1732,2333,318,6,0,11,2,0,0,1,3336,832,0,-3,52,133,2011,4,13,3,3,20
498,1114,5038,914,6,6,11,1,3,0,1,311,356,37985,89,22,10,2007,10,42,15,0,0
499,2641,1582,1572,4,5,11,1,0,0,1,4462,552,7167,-121,45,134,2012,7,28,14,0,0
500,2526,4943,7188,0,5,1,1,1,0,1,2944,115,31114,125,9,98,2011,1,1,7,0,0
501,1045,0,4997,0,5,3,3,0,0,1,8643,552,4864,-122,45,134,2012,3,11,16,6,53
502,2613,5233,5603,4,5,1,1,0,0,1,1097,807,6758,80,29,56,2009,8,34,17,18,0
503,11,6641,6522,6,6,3,2,0,0,1,550,109,10917,-118,34,134,2008,5,21,23,0,0
504,913,4514,3530,1,5,11,2,0,0,1,34,828,16000,-77,38,134,2007,3,9,2,23,0
505,3007,2798,3891,1,8,7,1,5,0,1,4759,255,91136,107,26,26,2013,2,8,19,11,0
506,2340,4372,692,4,5,3,1,0,0,1,2172,233,2100,75,35,93,2010,7,30,29,0,0
507,571,5748,956,6,5,11,1,0,0,1,3790,851,21867,84,27,86,2011,7,28,16,0,0
508,1045,0,5040,0,5,3,3,0,0,1,8401,552,1251,-117,45,134,2014,1,1,1,12,33
509,2783,6101,2832,6,5,11,1,0,0,1,4628,207,0,-2,51,133,2012,11,47,21,18,0
510,486,640,5502,6,6,3,2,0,0,1,9414,109,6871,-120,38,134,2016,3,10,13,0,0
511,2873,1953,602,7,5,3,1,0,0,1,2785,613,0,108,14,138,2010,12,49,6,0,0
512,1341,1694,1807,1,5,3,2,1,2,1,9249,125,27602,85,27,86,2016,7,30,30,9,0
514,1045,0,7508,0,5,3,3,0,0,1,7992,552,2344,-122,45,134,2016,2,5,3,18,36
515,635,1348,3366,6,5,13,0,23,1,1,5766,872,4172,123,8,98,2014,1,2,12,0,0
516,3031,3260,934,4,5,11,4,0,0,1,4745,816,2192,6,46,122,2013,2,5,3,0,0
517,2301,1016,4375,1,6,3,1,0,0,1,1633,627,6023699,-43,-22,17,2010,4,14,6,0,0
518,720,3998,599,6,5,11,2,0,0,1,6878,833,53007,-122,47,134,2015,3,12,16,14,30
519,2279,4210,3688,6,6,3,1,0,0,1,1375,33,0,-71,-15,97,2009,12,53,29,0,0
520,366,2908,6057,2,5,3,2,0,0,1,7493,600,11680,-83,9,28,2015,11,48,23,0,0
521,1917,3012,3999,6,5,3,0,0,0,1,5909,851,18317,80,29,86,2014,2,9,28,0,0
522,1705,165,5540,6,5,3,2,0,0,1,5688,627,272691,-43,-22,17,2013,12,50,11,9,0
523,2793,6133,7295,4,5,3,1,0,0,1,839,659,8292,-84,9,28,2008,10,41,12,0,0
524,382,382,8138,6,5,1,1,0,0,1,7370,434,30418,94,24,56,2015,8,31,1,0,0
525,7,2030,7817,2,0,3,1,0,0,1,2065,508,1041,-77,42,134,2010,7,28,13,0,0
526,2053,3328,4091,7,0,13,1,0,0,1,810,302,9636,120,18,98,2008,9,39,23,0,0
527,2608,5221,7121,0,5,3,0,0,0,1,3656,766,0,105,19,138,2011,6,25,26,0,0
528,3226,6368,7327,6,6,3,1,0,0,1,5132,157,1027,-106,39,134,2013,7,29,18,0,0
529,658,5956,3617,6,5,3,1,0,0,1,6793,624,0,103,0,57,2015,2,8,20,10,30
530,1201,1616,7974,1,5,11,0,22,22,1,6239,255,1171633,107,26,26,2014,8,35,27,20,0
531,1219,5353,2315,6,5,3,1,0,0,1,6253,157,1864,-105,40,134,2007,6,22,1,0,0
532,1948,449,2927,4,6,3,1,2,0,1,1445,172,2000,-72,-13,97,2010,1,3,23,0,0
533,1489,961,3991,1,2,3,2,0,0,1,7828,833,608660,-122,47,134,1997,1,1,1,0,0
534,1485,1131,4741,2,5,11,2,0,0,1,25,207,3170,-4,50,133,2007,2,7,13,0,0
535,1351,5956,3616,6,5,3,2,0,3,0,6789,624,0,103,0,57,2015,2,8,20,22,30
537,1344,3654,6117,4,5,11,1,0,0,1,4928,807,2571,79,30,56,2013,6,24,16,0,0
538,1876,2834,613,1,5,3,0,1,0,1,4445,807,66390,78,30,56,2012,7,27,5,0,0
539,2584,5123,4516,6,5,3,1,0,0,1,2562,53,725000,73,34,93,2010,10,40,7,0,0
540,396,2988,7101,1,5,3,1,0,0,1,8897,109,80968,-121,37,134,2015,11,45,2,0,0
541,375,2913,7065,4,5,11,0,0,0,1,400,123,50059,111,-7,57,2007,12,52,26,0,0
542,505,657,340,6,7,3,1,0,0,1,6591,567,78050,-48,-1,17,2014,1,1,4,0,0
543,2123,786,7079,4,6,13,0,29,0,1,855,219,850848,-87,14,53,2008,10,43,20,0,0
544,2301,1016,3118,1,5,3,1,0,0,1,1698,627,6023699,-43,-23,17,2010,4,14,6,0,0
545,1659,6105,5517,6,5,11,1,0,0,1,160,682,1320,-2,57,133,2007,8,32,6,0,0
546,2302,4240,416,1,6,3,2,0,0,1,3272,109,12336,-122,37,134,2011,3,12,24,0,0
547,1045,0,5179,0,5,3,3,0,0,1,8151,552,1690,-123,45,134,2015,11,47,17,12,32
548,1901,2922,8364,2,5,3,1,0,0,1,2118,343,3278,75,33,56,2010,7,29,22,5,0
549,3179,5642,5240,1,6,11,2,0,0,1,5317,756,19972,145,-41,7,2013,8,33,13,3,0
550,2429,1289,11,4,5,3,0,20,0,1,3588,290,0,113,29,26,2011,6,23,10,4,0
551,228,2667,4164,7,6,11,1,0,0,1,380,833,9834,-123,47,134,2007,12,49,3,0,0
552,1045,0,7518,0,5,3,3,0,0,1,8526,552,6009,-122,45,134,2012,12,49,4,18,1
553,2061,3401,564,1,6,3,1,0,0,1,2410,110,887,14,40,62,2010,9,36,10,0,0
554,2301,1016,8395,1,5,3,1,0,0,1,1713,627,456456,-43,-22,17,2010,4,14,6,0,0
555,1464,0,843,6,5,9,1,3,0,1,6993,66,0,115,-8,57,2015,6,23,3,12,30
556,1045,0,5091,0,5,3,3,0,0,1,8730,552,8466,-123,44,134,2012,1,3,18,22,40
557,44,2053,7449,4,6,3,2,0,0,1,3554,857,1182,-104,44,134,2011,5,22,30,0,0
558,2661,5354,2003,6,5,3,1,0,0,1,4276,606,1500,145,-16,7,2012,3,12,19,23,0
559,1045,0,5170,0,5,3,3,0,0,1,8110,552,1737,-123,46,134,2015,12,50,8,16,5
560,2743,5842,1793,4,5,3,1,0,0,1,2502,343,7317,75,33,56,2010,9,38,25,0,0
561,2250,4082,8714,6,5,3,1,0,0,1,2312,780,2805,90,27,14,2010,8,34,23,7,0
562,644,3627,3680,7,5,11,0,10,0,1,302,659,26669,-83,10,28,2007,10,41,11,0,0
563,2584,1533,8290,2,5,1,1,0,0,1,6684,664,6393,-88,13,39,2014,10,42,15,0,0
564,1045,0,7528,0,5,3,3,0,0,1,8760,552,11333,-122,45,134,2011,11,47,21,8,28
565,1045,0,2735,0,5,3,3,0,0,1,8592,552,15962,-122,45,134,2012,5,18,4,2,32
566,3011,2871,3326,6,5,3,1,0,0,1,5635,350,784153,77,8,56,2013,11,46,13,23,0
567,2394,4628,4652,6,5,3,1,3,0,1,4069,613,32992,108,15,138,2011,11,47,26,0,0
568,329,2769,8709,1,2,11,2,0,0,1,6328,109,3371,-117,34,134,2014,11,44,1,5,5
569,2081,3465,544,0,5,3,1,3,0,1,828,512,11096,0,6,46,2008,10,41,6,0,0
570,2968,2275,4648,2,5,3,1,0,0,1,5084,539,92113,94,25,56,2013,7,28,12,23,0
571,1077,560,4658,0,5,12,1,0,0,1,4349,774,0,85,27,26,2012,5,18,3,9,0
572,1932,417,3983,6,6,3,1,3,0,1,1167,767,228927,-99,19,80,2009,9,38,15,0,0
573,2568,5068,1354,4,5,3,0,0,0,1,3658,121,77366,178,-17,41,2011,6,26,27,0,0
574,2318,4295,57,4,5,3,1,0,0,1,3608,471,0,44,41,44,2011,6,24,14,23,0
575,371,367,3657,1,5,11,1,0,0,1,7325,851,23296,83,28,86,2015,8,33,16,13,0
576,2113,752,4639,6,5,3,1,0,0,1,3618,282,1495,77,31,56,2011,6,24,17,0,0
577,2310,1031,5931,0,5,13,2,0,0,1,3552,310,16497,141,39,65,2011,5,22,30,0,0
578,1045,0,4879,0,5,3,3,0,0,1,8440,552,1045,-122,44,134,2013,9,39,28,23,19
579,1466,6185,6474,6,5,3,1,0,0,1,7726,282,2467,77,31,56,2015,8,34,22,4,30
580,275,2592,4296,7,6,13,1,0,2,1,8914,222,0,119,26,26,2016,7,27,9,0,0
582,2185,3837,1420,2,5,3,0,16,0,1,1799,205,9152,35,1,69,2010,4,17,30,5,0
583,2114,768,952,6,6,3,2,1,0,1,5225,807,17123,78,30,56,2013,7,30,28,0,0
584,2584,5117,2401,0,5,13,1,0,0,1,556,246,4108,-85,10,28,2008,5,22,29,0,0
585,1045,0,5085,0,5,3,3,0,0,1,8197,552,4561,-123,44,134,2015,2,7,9,8,9
586,1234,5402,2488,1,5,1,2,0,0,1,6256,833,1035,-122,47,134,2014,9,39,26,10,0
587,2392,1090,2291,2,5,5,1,1,0,1,830,373,1453975,101,3,78,2008,10,41,7,0,0
588,2690,5480,5228,1,5,3,1,3,0,1,4099,753,49168,173,-39,87,2011,12,50,17,5,30
589,1973,564,8007,0,5,3,1,1,0,1,5251,869,0,103,27,26,2013,8,31,2,0,0
590,3256,6603,3214,6,5,3,0,6,0,1,4469,476,51870,43,16,139,2012,8,32,10,0,0
591,310,2734,5971,1,6,11,2,0,0,1,238,157,12088,-106,40,134,2007,9,36,6,0,0
